Task,Solution Type,Bureau or Group,Start Quarter,End Quarter,Major Milestone,Primary Staff Signal,Confidence,Source
Domestic Module (WHA),Domestic Budget and Execution,WHA,FY26 Q3,FY26 Q4,Begin WHA domestic delivery,Jason Jensen; Matt Ford; Scott Florence; Isaiah Wood,Confirmed quarter from plan,Regional Plan + Regionals Outlook
Domestic Module (NEA),Domestic Budget and Execution,NEA,FY26 Q3,FY26 Q4,Leverage WHA pattern for NEA,Matt Ford; Scott Florence; Isaiah Wood,Confirmed quarter from plan,Regional Plan + Regionals Outlook
Domestic Module (SCA),Domestic Budget and Execution,SCA,FY26 Q3,FY26 Q4,Leverage WHA pattern for SCA,Matt Ford; Scott Florence; Isaiah Wood,Confirmed quarter from plan,Regional Plan + Regionals Outlook
Task Force Dashboard (NEA),Country or Bureau Specific Solution,NEA,FY26 Q2,FY26 Q3,Emergency and task-force visibility support,Matt Ford,Inferred from roadmap layout,Regionals Outlook
Evacuation Spending Tracker and Dashboard,Country or Bureau Specific Solution,NEA,FY26 Q2,FY26 Q3,Deliver as soon as possible for crisis needs,Matt Ford; Osmar Rosales,Confirmed urgency; quarter inferred,Regional Plan + Regionals Outlook
Program Efficiency Review,Country or Bureau Specific Solution,CARE,FY26 Q3,FY26 Q4,CARE program efficiency delivery target,Fatima Barry; Andrew Hill; Russell Sherrod; Benjamin Eidelkind; Scott Florence; Isaiah Wood,Confirmed quarter from plan,Regional Plan + Regionals Outlook
Disaster Readiness Solution - Evacuation Playbook,Country or Bureau Specific Solution,Regional All,FY26 Q3,FY26 Q4,Playbook available before broader disaster module,Fatima Barry; Andrew Hill; Russell Sherrod,Inferred from roadmap layout,Regionals Outlook
Representation and Gift App,Regional Platform and Shared Services,Regional All,FY26 Q3,FY26 Q4,Domestic and overseas capture capability available,Staff not explicit in sheet,Inferred from roadmap layout,Regional Plan + Regionals Outlook
Information System Desktop and Services (DT&A),Regional Platform and Shared Services,Regional All,FY26 Q3,FY26 Q4,Shared platform and environment support in place,Matt Ford; Ziv Agasi,Inferred from roadmap layout,Regionals Outlook
Apptio - Replacement,Regional Platform and Shared Services,WCF,FY26 Q3,FY26 Q4,Replacement decision and rollout,Matt Ford,Inferred from roadmap layout,Regionals Outlook
